@relation markSix

@attribute A1 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49}			
@attribute A2 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49}	
@attribute A3 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49}	
@attribute A4 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49}	
@attribute A5 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49}	
@attribute A6 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49}	
@attribute A7 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49}	

@data
15,17,19,21,33,37,2
3,5,7,20,37,46,16
1,15,18,32,36,43,31
2,7,12,15,28,31,19
13,17,25,26,37,38,16
2,6,24,33,34,39,26
2,12,15,16,26,30,24
4,12,19,27,34,39,42
11,24,37,38,43,46,18
2,5,9,29,32,43,47
4,12,13,21,28,42,41
4,5,15,36,38,39,46
7,19,27,33,35,43,9
3,5,12,29,36,45,40
5,13,18,23,33,41,37
22,23,24,28,29,39,38
11,18,23,29,35,39,36
1,3,7,8,12,39,34
4,16,19,33,34,47,39
16,22,25,26,40,46,44
1,16,28,32,36,38,14
3,17,24,34,35,40,15
1,3,5,14,18,23,25
2,3,22,24,25,41,27
20,22,30,32,35,36,33
2,13,24,25,26,27,23
5,8,12,23,24,44,31
3,8,12,28,35,39,37
9,20,22,28,39,45,19
1,6,22,30,32,45,16
4,29,30,35,43,45,25
11,25,31,35,44,47,30
6,8,13,35,45,47,9
2,17,20,22,29,33,25
5,24,33,34,36,44,42
1,12,15,17,21,22,29
14,21,23,39,42,46,37
4,7,14,18,19,34,20
27,28,40,42,43,47,34
18,19,20,23,43,47,40
10,15,18,35,38,39,12
12,15,17,29,46,47,23
16,17,26,30,34,35,13
1,14,27,31,35,42,5
2,15,21,28,36,41,3
3,8,9,17,27,44,25
11,15,17,19,39,47,28
5,20,22,30,31,33,19
12,17,19,31,37,38,20
3,14,15,21,32,37,29
4,12,39,41,42,43,31
4,5,12,40,44,46,35
8,9,12,23,26,34,47
5,11,14,26,31,40,13
18,28,29,31,35,40,34
7,11,25,33,34,42,45
2,13,14,20,28,43,31
1,11,18,19,21,34,12
4,5,6,17,34,37,2
1,8,15,27,38,40,14
11,12,30,37,41,45,2
9,18,21,31,40,47,34
1,6,8,10,32,41,38
10,17,23,34,40,41,24
1,5,6,7,8,13,32
1,7,23,32,33,38,41
19,23,31,42,45,46,8
29,34,36,42,44,45,26
2,9,24,27,30,32,19
10,22,26,27,32,41,13
4,11,30,31,33,40,9
9,17,25,27,28,44,13
6,25,30,38,39,41,5
4,12,22,24,27,39,18
11,12,15,26,38,47,25
3,7,33,34,35,40,16
4,13,27,30,42,43,5
8,13,31,33,35,41,47
4,6,7,32,44,47,37
1,11,26,33,34,36,16
14,17,18,30,38,39,6
6,8,16,20,32,36,1
22,28,34,36,39,46,40
8,11,20,22,30,47,15
22,28,31,32,33,35,27
2,8,10,16,34,40,13
8,18,32,33,38,45,41
1,12,19,25,26,38,47
1,6,11,13,17,19,42
2,13,19,29,33,39,11
4,5,25,37,46,47,33
4,11,23,32,33,45,12
4,7,18,22,29,36,28
7,12,22,24,38,45,35
13,17,27,42,43,44,34
11,13,15,20,33,45,35
5,25,31,36,44,45,42
2,18,22,25,26,31,43
15,23,25,27,30,44,43
10,20,25,31,36,46,29
2,3,5,11,20,21,8
5,9,38,39,45,46,23
2,3,8,18,29,38,21
8,11,21,23,32,33,36
12,16,22,32,37,44,7
5,13,31,33,37,39,34
4,5,26,28,36,41,47
9,11,15,16,19,40,47
3,7,8,10,25,41,2
7,12,17,26,35,36,33
5,8,10,28,30,41,36
7,12,15,17,19,37,27
12,13,28,31,33,42,10
9,12,25,33,37,41,28
5,13,22,28,34,39,14
3,8,9,11,17,32,14
19,21,26,33,37,42,40
6,7,27,36,41,44,5
8,10,13,21,28,40,7
1,4,11,18,23,45,7
11,17,21,28,35,38,3
9,14,19,23,33,39,10
4,11,24,25,38,39,43
6,11,14,22,38,40,18
14,19,26,34,43,44,12
3,6,14,26,29,31,45
5,23,33,37,44,47,29
16,17,26,29,31,46,24
8,15,17,22,25,39,36
8,12,16,17,20,26,21
13,19,23,28,35,40,43
